Date,ID,Sector,Country,Coupon,Market_Value,Market_Value_BOM,OAS,Modified_Duration,Index_Rating,Excess_Return_MTD,Total_Return_MTD
4/1/2020,B055,CONS,France,1,618697.3533,619321.864,509.261,3.851,BA1   ,-0.0175,-0.1099
4/1/2020,B056,IND,France,3.75,303192.5748,302813.1568,746.529,3.013,BA2   ,0.2208,0.1162
4/1/2020,B057,CONS,France,2,620552.9694,624070.4475,597.321,5.88,BA1   ,-0.5097,-0.5727
4/1/2020,B058,CONS,France,4.375,427645.4599,423066.735,710.89,3.105,BA2   ,1.1824,1.0731
4/1/2020,B059,CONS,France,1.75,456096.3868,453900.93,529.048,3.752,BA1   ,0.5689,0.4745
4/1/2020,B060,IND,France,2.625,550092.5912,549897.444,516.099,5.477,BA2   ,0.109,0.0264
4/1/2020,B061,CONS,France,1.25,833791.2611,837051.15,576.439,4.896,BA1   ,-0.2989,-0.3985
4/1/2020,B062,CONS,France,1,429740.4907,427787.68,490.616,4.766,BA1   ,0.5487,0.4473
4/1/2020,B063,CONS,France,1.625,295980.1747,295164.17,458.027,7.303,BA1   ,0.3016,0.2673
4/1/2020,B064,CONS,France,1.125,358004.3753,359121.395,654.687,6.931,BA1   ,-0.2757,-0.3201
4/1/2020,B065,CONS,France,2.625,411775.9141,410787.54,534.789,4.238,BA2   ,0.3246,0.2315
4/1/2020,B066,CONS,France,2.625,703316.4534,706336.417,554.892,4.319,BA2   ,-0.3418,-0.4366
4/1/2020,B067,CONS,United Kingdom,11,136867.2524,135986.6824,895.482,4.265,BA3   ,-0.114,0.6435
4/1/2020,B068,CONS,Norway,3.375,175084.7008,175040.625,1717.2701,3.931,B3    ,0.1083,0.0161
4/1/2020,B069,FIN,Portugal,4.5,230248.5514,231633.687,932.378,2.066,BA3   ,-0.5455,-0.607
4/1/2020,B070,FIN,Portugal,3.871,330647.9716,333238.6215,841.739,4.113,BA3   ,-0.6949,-0.7865
4/1/2020,B071,FIN,Portugal,10.5,108643.2097,108603.623,1116.48,3.063,CAA1  ,0.1358,0.0273
4/1/2020,B072,E&U,Portugal,4.496,1072218.113,1072837.6,419.144,3.379,BA2   ,0.0427,-0.0669
4/1/2020,B073,E&U,Portugal,1.7,670104.0811,669715.695,252.873,3.893,BA2   ,0.1412,0.0489
4/1/2020,B074,FIN,Portugal,8.5,326692.6267,327117.968,1365.21,2.328,CAA2  ,-0.0714,-0.1391
4/1/2020,B075,IND,Sweden,5.375,147533.4836,147068.2145,2059.5901,2.089,B2    ,0.9448,0.3619
4/1/2020,B076,IND,Sweden,4,209319.3472,209265,1227.2099,2.536,B1    ,0.092,0.0169
4/1/2020,B077,TECH,Sweden,6.5,176538.4832,173505.501,899.7231,2.385,CAA1  ,1.8102,1.7388
4/1/2020,B078,TECH,Italy,7.75,1334451.393,1327344.844,496.367,8.866,BA1   ,0.5114,0.5262
4/1/2020,B079,IND,Italy,6.25,574713.2793,580901.7551,804.459,1.93,BA3   ,-1.7269,-1.0693
4/1/2020,B080,IND,Italy,5.875,1056200.923,1058094.18,622.239,3.565,BA3   ,-0.086,-0.188
4/1/2020,B081,TECH,Italy,5.25,661130.049,664370.3451,542.309,16.106,BA1   ,-1.0949,-0.4968
4/1/2020,B082,IND,Italy,4.875,519563.3589,517979.245,462.885,4.454,BA1   ,0.3938,0.2967
4/1/2020,B083,TECH,Italy,5.875,510969.0138,507575.9669,326.158,2.776,BA1   ,-0.0247,0.6644
4/1/2020,B084,FIN,Italy,6.269,409841.8093,407199.1044,406.797,4.38,BA1   ,-0.1156,0.6449
4/1/2020,B085,FIN,Italy,6.416,265274.7236,263726.7388,352.818,1.227,BA1   ,-0.0571,0.5829
4/1/2020,B086,TECH,United Kingdom,6.375,262079.5091,259864.7926,446.616,5.686,BA2   ,0.0152,0.8482
4/1/2020,B087,FIN,United Kingdom,13,1174843.759,1162458.55,489.187,6.196,BAA3  ,0.2086,1.0613
4/1/2020,B088,IND,Italy,5.25,574385.3112,576442.0023,447.936,1.722,BA1   ,-0.309,-0.3659
4/1/2020,B089,TECH,Italy,5.25,922079.2281,921886.1063,386.819,1.781,BA1   ,0.0695,0.0118
4/1/2020,B090,E&U,United Kingdom,5.75,371945.1898,370521.8613,309.169,2.259,BA1   ,-0.2895,0.3801
4/1/2020,B091,IND,Italy,4.375,494943.876,494334.015,567.32,4.733,BA3   ,0.216,0.1142
4/1/2020,B092,IND,Canada,6.125,366827.8675,368636.6236,2110.0601,0.969,CAA1  ,-0.472,-0.4997
4/1/2020,B093,TECH,Denmark,5.625,489872.3742,486868.382,635.214,2.623,B1    ,-0.0703,0.6129
4/1/2020,B094,FIN,Italy,7.125,451871.0016,452100.9838,746.892,0.881,B1    ,-0.0342,-0.06
4/1/2020,B095,FIN,Netherlands,9,271623.0632,271861.845,678.887,1.015,BA1   ,-0.0681,-0.0969
4/1/2020,B096,FIN,Italy,6.125,617152.7736,616698.5651,594.417,0.964,BA1   ,0.0921,0.0645
4/1/2020,B097,CONS,United Kingdom,7.5,424850.3356,422229.2551,697.364,4.8,BA2   ,-0.1702,0.6167
4/1/2020,B098,FIN,Italy,6.375,335592.8512,335557.7617,687.139,1.068,B1    ,0.0312,0.0013
4/1/2020,B099,IND,United States,7.375,212868.255,212783.888,412.25,1.212,BA3   ,0.0635,0.0305
4/1/2020,B100,CONS,United Kingdom,6.125,356989.477,358011.1577,427.61,1.587,BA1   ,-0.9378,-0.2894
4/1/2020,B101,TECH,Denmark,3.75,506298.5904,505786.095,509.246,1.826,B1    ,0.1504,0.0922
4/1/2020,B102,CONS,United Kingdom,5.375,540985.4477,542078.0332,292.561,2.307,BA1   ,-0.8773,-0.2056
4/1/2020,B103,FIN,Italy,6.95,1597275.272,1597684.92,602.094,2.331,BA1   ,0.0329,-0.0347
4/1/2020,B104,CONS,United Kingdom,4.75,459851.4015,462396.4024,515.192,4.427,BA1   ,-1.3188,-0.5544
4/1/2020,B105,FIN,Ireland,10,296904.1789,299541.325,436.384,2.426,BA1   ,-0.8181,-0.8894
4/1/2020,B106,FIN,Portugal,3.5,112346.0332,112641.9195,469.611,15.148,CAA2  ,-0.7983,-0.2718
4/1/2020,B107,E&U,United Kingdom,7,49927.99736,48824.49865,8995.7901,1.404,CAA1  ,1.6128,2.2559
4/1/2020,B108,FIN,United Kingdom,6,74377.08175,74004.78595,551.922,1.404,BA1   ,-0.1449,0.499
4/1/2020,B109,E&U,United Kingdom,5.875,204023.1388,202743.56,750.444,1.133,BA1   ,-0.0108,0.6271
4/1/2020,B110,IND,United States,4.875,117044.3411,117420.0796,640.345,0.955,BA3   ,-0.3017,-0.3291
4/1/2020,B111,E&U,Netherlands,7.5,106222.731,105544.4309,904.261,1.074,B1    ,0.002,0.6385
4/1/2020,B112,FIN,Italy,6.625,1587586.597,1588625.944,526.064,3.034,BA1   ,0.0318,-0.0745
4/1/2020,B113,IND,Belgium,5.425,528277.0327,528744.795,442.276,3.292,BA1   ,0.0159,-0.0976
4/1/2020,B114,FIN,Austria,5.875,285234.0999,285328.0354,501.807,3.27,BA1   ,0.0725,-0.042
4/1/2020,B115,IND,Germany,4.125,461851.6662,462523.24,1056.95,1.559,B1    ,-0.1046,-0.1543
4/1/2020,B116,CONS,United Kingdom,5,390094.1143,389253.5688,1422.33,1.674,B1    ,-0.4382,0.2118
4/1/2020,B117,CONS,United Kingdom,6.625,336618.3892,337004.3422,4768.8301,1.024,C     ,-0.7543,-0.1186
4/1/2020,B118,IND,Spain,7.25,201170.0622,201101.39,3457.42,0.821,CAA1  ,0.0495,0.025
4/1/2020,B119,FIN,Italy,4.375,324794.6596,324764.7398,276.544,0.912,BA2   ,0.0266,0.0001
4/1/2020,B120,E&U,Finland,2.5,155970.7677,156175.6285,175.405,0.95,BA1   ,-0.113,-0.1403
4/1/2020,B121,IND,Spain,4.75,155403.5363,154423.8489,5003.9101,1.479,CAA1  ,0.6707,0.6252
4/1/2020,B122,TECH,United Kingdom,6.25,412741.2133,410010.7588,534.911,3.755,BA3   ,-0.0745,0.6619
4/1/2020,B123,CONS,United Kingdom,4.75,1002327.255,1001639.95,524.443,0.948,BA1   ,0.0867,0.0595
4/1/2020,B124,TECH,Spain,5.875,1025955.388,1025220.96,507.999,3.64,BA1   ,0.1619,0.0625
4/1/2020,B125,FIN,United Kingdom,5.75,239280.285,258512.4406,8348.0095,0.647,BA2   ,-7.4258,-7.448
4/1/2020,B126,IND,United States,4.625,187635.2322,187766.444,1311.8299,1.019,B2    ,-0.0502,-0.079
4/1/2020,B127,CONS,United Kingdom,5.125,107369.3777,106672.8467,765.866,2.244,BA2   ,-0.0199,0.6489
4/1/2020,B128,IND,Italy,5.75,68856.57305,68989,10994.7884,0.73,C     ,-0.1786,-0.2011
4/1/2020,B129,FIN,Italy,5.75,723233.1389,727189.425,685.688,3.167,BA3   ,-0.4353,-0.5531
4/1/2020,B130,CONS,United Kingdom,5.5,240746.552,245381.9914,4635.1498,1.007,CAA1  ,-2.5292,-1.893
4/1/2020,B131,CONS,United Kingdom,4.375,203146.0503,202728.084,4003.2799,1.044,CAA1  ,0.2264,0.197
4/1/2020,B132,IND,United States,4,666483.3328,666031.886,379.111,1.993,BA2   ,0.1191,0.0587
4/1/2020,B133,CONS,United Kingdom,6.75,190464.1561,185387.3441,1265.4599,3.369,B2    ,2.0226,2.7343
4/1/2020,B134,CONS,United Kingdom,4.75,1390441.359,1388978.483,554.796,2.099,BA1   ,0.158,0.0962
4/1/2020,B135,FIN,United Kingdom,6.5,92664.62134,91895.19001,1142.62,2.097,BA3   ,0.1702,0.8332
4/1/2020,B136,CONS,Germany,3.625,204949.4315,205004.972,420.219,1.268,BA1   ,-0.0012,-0.0362
4/1/2020,B137,IND,United Kingdom,4.375,270942.8019,268745.1098,947.43,1.345,BA1   ,0.1712,0.8137
4/1/2020,B138,FIN,Italy,3.928,1029358.258,1035997.16,437.19,5.613,BA1   ,-0.574,-0.6499
4/1/2020,B139,TECH,Netherlands,4,531719.2437,531551.3976,454.87,3.842,BA2   ,0.1151,0.0225
4/1/2020,B140,IND,Ireland,2.75,253048.0085,253308.3325,320.258,4.37,BA1   ,-0.0162,-0.1119
4/1/2020,B141,IND,United Kingdom,5.75,272479.5966,270628.5744,674.011,4.174,BA3   ,-0.0759,0.6799
4/1/2020,B142,E&U,Singapore,2.65,114277.078,114255.6255,1750.7099,1.856,BA3   ,0.0683,0.0097
4/1/2020,B143,E&U,Spain,4.125,999388.9175,1000595.16,421.456,2.508,BA1   ,-0.0558,-0.1297
4/1/2020,B144,FIN,Italy,4.596,1488137.539,1496303.61,531.752,4.73,BA1   ,-0.4533,-0.5548
4/1/2020,B145,FIN,Italy,4.75,745385.3645,747387.6225,549.584,4.195,BA1   ,-0.1844,-0.277
4/1/2020,B146,TECH,Italy,3.25,1006199.098,1005568.63,392.592,2.654,BA1   ,0.1331,0.0536
4/1/2020,B147,TECH,United Kingdom,4.5,437561.9633,435178.4,645.55,3.69,B2    ,0.633,0.5386
4/1/2020,B148,E&U,Finland,2.125,494098.759,496479.715,308.071,4.495,BA1   ,-0.3908,-0.4886
4/1/2020,B149,CONS,United Kingdom,3.875,334872.1315,334120.7869,1553.2901,2.545,B1    ,-0.4597,0.2208
4/1/2020,B150,CONS,Germany,1.5,549437.2595,549578.55,400.721,4.73,BA1   ,0.067,-0.0348
4/1/2020,B151,CONS,United States,4.75,695228.519,695180.524,1347.75,2.52,BA3   ,0.0724,-0.0022
4/1/2020,B152,CONS,United States,4.5,1455905.138,1466190,677.735,2.518,B2    ,-0.6399,-0.7105
4/1/2020,B153,IND,Spain,5.5,128504.4935,127893.8229,3657.09,2.243,CAA1  ,0.5327,0.4683
4/1/2020,B154,FIN,Italy,3,946359.0963,948550.68,485.518,4.572,BA2   ,-0.1408,-0.2401
4/1/2020,B155,E&U,Spain,3.875,970917.3337,967875.27,419.526,1.029,BA1   ,0.3332,0.3052
4/1/2020,B156,E&U,Spain,4.5,973725.0095,972893.01,466.303,4.372,BA1   ,0.1753,0.0764
4/1/2020,B157,TECH,United Kingdom,4.875,556743.901,553879.6679,606.047,4.941,BA3   ,-0.2832,0.5131
4/1/2020,B158,FIN,United Kingdom,5.125,67857.71594,67446.5655,596.641,3.086,BA1   ,-0.0954,0.6055
4/1/2020,B159,E&U,United Kingdom,5.25,508168.9979,504981.4677,431.833,3.648,BA1   ,-0.1086,0.6272
4/1/2020,B160,E&U,United Kingdom,3,746156.1722,747031.7175,337.805,0.886,BA1   ,-0.0996,-0.1263
4/1/2020,B161,E&U,Germany,3.5,288892.8378,288676.2073,368.297,4.559,BA2   ,0.1651,0.0659
4/1/2020,B162,IND,France,2.875,522770.4531,520297.404,552.999,2.9,BA1   ,0.5636,0.4662
